variant,name,packed_qkv,sdpa,mask_skip,accuracy,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
A,baseline,False,False,False,REF,0,0.0,0.0,7.381504058837891,7.544234143892924,7.767142200469971,7.303167819976807,1.0,0.0,138725.11507650837,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
B,packed_qkv,True,False,False,PASS,0,0.0,0.0,6.9765119552612305,7.16673290570577,7.421110391616821,6.914048194885254,1.0580508004822153,-5.486579704467709,146778.21905368712,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
C,sdpa,False,True,False,PASS,0,0.0007238388061523438,162.22120666503906,6.67955207824707,6.856840306917826,7.068774557113647,6.6314239501953125,1.105089678524527,-9.509606375551227,153303.69282317665,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
D,mask_skip,False,False,True,PASS,0,0.0,0.0,6.6708478927612305,6.854954053560893,7.0759423732757565,6.624256134033203,1.1065316099993552,-9.627525236212398,153503.72493295465,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
E,packed_qkv+sdpa,True,True,False,PASS,0,0.0007238388061523438,162.22120666503906,6.234656095504761,6.427501773834228,6.632390260696411,6.210559844970703,1.1839472692262878,-15.536778875844504,164243.2211679346,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
F,packed_qkv+mask_skip,True,False,True,PASS,0,0.0,0.0,6.231040000915527,6.435700709025065,6.662041521072387,6.209536075592041,1.1846343560229633,-15.585767463541666,164338.53736287096,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
G,sdpa+mask_skip,False,True,True,PASS,0,0.0007238388061523438,162.22120666503906,6.22489595413208,6.4047617276509605,6.613196611404419,6.209536075592041,1.185803604305716,-15.669003166380445,164500.74146544887,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
H,full,True,True,True,PASS,0,0.0007238388061523438,162.22120666503906,5.776383876800537,5.940685311953227,6.159564733505249,5.76204776763916,1.277876300514572,-21.7451642543709,177273.53684242678,cuda,torch.float32,8,128,512,8,2048,6,False,0.0
