shape_id,variant,name,packed_qkv,sdpa,sdpa_backend,mask_skip,accuracy,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
,A,baseline,False,False,,False,REF,0,0.0,0.0,4.439040184020996,4.529523553848267,4.808703899383545,4.377600193023682,1.0,0.0,230680.49793422566,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
,B,packed_qkv,True,False,,False,PASS,0,0.0,0.0,4.241407871246338,4.34258538722992,4.649062490463257,4.207615852355957,1.046595922574309,-4.452140656128001,241429.26855537182,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
,C,sdpa,False,True,auto,False,FAIL,92,0.009765625,2813.0,3.4017279148101807,3.485692974726359,3.7857279777526855,3.368959903717041,1.3049368718452306,-23.367940505354735,301023.4873699886,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
,D,mask_skip,False,False,,True,PASS,0,0.0,0.0,4.10265588760376,4.203894001642863,4.500889778137207,4.089856147766113,1.081991837880829,-7.577861034646705,249594.4159231176,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
,E,packed_qkv+sdpa,True,True,auto,False,FAIL,92,0.009765625,2813.0,3.144767999649048,3.2173632168769837,3.5195904970169067,3.093503952026367,1.4115636461946914,-29.156577339193255,325620.2047700425,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
,F,packed_qkv+mask_skip,True,False,,True,PASS,0,0.0,0.0,3.851263999938965,3.93859627087911,4.237619066238404,3.8164479732513428,1.1526190321129235,-13.2410647283127,265886.73225627444,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
,G,sdpa+mask_skip,False,True,auto,True,FAIL,92,0.009765625,2813.0,3.0013439655303955,3.0638198256492615,3.363840103149414,2.9655039310455322,1.4790174785036783,-32.387546831988764,341180.4883946514,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
,H,full,True,True,auto,True,FAIL,92,0.009765625,2813.0,2.756608009338379,2.816463386217753,3.121151924133301,2.727936029434204,1.610326955803347,-37.90080974573713,371471.0240016219,cuda,torch.float16,8,128,512,8,2048,6,True,0.0
